Sl. No,Company/Client Name,Contact Name,Mobile,Email,Notes,1st Follow Up,2nd Follow Up,3rd Follow Up,Quotation,LPO,Invoice,Remarks
1,Emaar Properties,Procurement / Projects Team,Switchboard – see website,via website form,Source: off-planproperties.ae / opr.ae,Not yet,Not yet,Not yet,,,,Developer
2,Nakheel,Procurement / Projects Team,Switchboard – see website,via website form,Source: off-planproperties.ae / engelvoelkers.com,Not yet,Not yet,Not yet,,,,Developer
3,DAMAC Properties,Procurement / Projects Team,Switchboard – see website,via website form,Source: off-planproperties.ae,Not yet,Not yet,Not yet,,,,Developer
4,Dubai Properties,Procurement / Projects Team,Switchboard – see website,via website form,Source: off-planproperties.ae,Not yet,Not yet,Not yet,,,,Developer
5,Meraas,Procurement / Projects Team,Switchboard – see website,via website form,Source: opr.ae,Not yet,Not yet,Not yet,,,,Developer
6,Sobha Realty,Procurement / Projects Team,Switchboard – see website,via website form,Source: off-planproperties.ae,Not yet,Not yet,Not yet,,,,Developer
7,Azizi Developments,Procurement / Projects Team,Switchboard – see website,via website form,Source: off-planproperties.ae,Not yet,Not yet,Not yet,,,,Developer
8,Ellington Properties,Procurement / Projects Team,Switchboard – see website,via website form,Source: off-planproperties.ae,Not yet,Not yet,Not yet,,,,Developer
9,Select Group,Procurement / Projects Team,Switchboard – see website,via website form,Source: off-planproperties.ae,Not yet,Not yet,Not yet,,,,Developer
10,NSHAMA,Procurement / Projects Team,Switchboard – see website,via website form,Source: off-planproperties.ae,Not yet,Not yet,Not yet,,,,Developer
11,Omniyat,Procurement / Projects Team,Switchboard – see website,via website form,Source: off-planproperties.ae,Not yet,Not yet,Not yet,,,,Developer
12,Deyaar,Procurement / Projects Team,Switchboard – see website,via website form,Source: off-planproperties.ae,Not yet,Not yet,Not yet,,,,Developer
13,Binghatti,Procurement / Projects Team,Switchboard – see website,via website form,Source: off-planproperties.ae,Not yet,Not yet,Not yet,,,,Developer
14,Majid Al Futtaim Communities,Procurement / Projects Team,Switchboard – see website,via website form,Source: off-planproperties.ae,Not yet,Not yet,Not yet,,,,Developer
15,Aldar Properties,Procurement / Projects Team,Switchboard – see website,via website form,Source: off-planproperties.ae,Not yet,Not yet,Not yet,,,,Developer
16,Arada,Procurement / Projects Team,Switchboard – see website,via website form,Source: off-planproperties.ae,Not yet,Not yet,Not yet,,,,Developer
17,RAK Properties,Procurement / Projects Team,Switchboard – see website,via website form,Source: off-planproperties.ae,Not yet,Not yet,Not yet,,,,Developer
18,Khansaheb Civil Engineering,Procurement / Projects Team,Switchboard – see website,via website form,Source: rib-software.com,Not yet,Not yet,Not yet,,,,Main Contractor
19,ASGC,Procurement / Projects Team,Switchboard – see website,via website form,Source: rib-software.com,Not yet,Not yet,Not yet,,,,Main Contractor
20,Dutco Construction,Procurement / Projects Team,Switchboard – see website,via website form,Source: rib-software.com,Not yet,Not yet,Not yet,,,,Main Contractor
21,Wade Adams,Procurement / Projects Team,Switchboard – see website,via website form,Source: rib-software.com / blackridgeresearch.com,Not yet,Not yet,Not yet,,,,Main Contractor
22,ALEC Engineering & Construction,Procurement / Projects Team,Switchboard – see website,via website form,Source: industry lists,Not yet,Not yet,Not yet,,,,Main Contractor
23,Al Naboodah Construction,Procurement / Projects Team,Switchboard – see website,via website form,Source: industry lists,Not yet,Not yet,Not yet,,,,Main Contractor
24,Arabian Construction Company (ACC),Procurement / Projects Team,Switchboard – see website,via website form,Source: industry lists,Not yet,Not yet,Not yet,,,,Main Contractor
25,Laing O'Rourke Middle East,Procurement / Projects Team,Switchboard – see website,via website form,Source: industry lists,Not yet,Not yet,Not yet,,,,Main Contractor
26,China State Construction Engineering ME,Procurement / Projects Team,Switchboard – see website,via website form,Source: industry lists,Not yet,Not yet,Not yet,,,,Main Contractor
27,Shapoorji Pallonji Mideast,Procurement / Projects Team,Switchboard – see website,via website form,Source: industry lists,Not yet,Not yet,Not yet,,,,Main Contractor
28,Trojan Construction Group,Procurement / Projects Team,Switchboard – see website,via website form,Source: blackridgeresearch.com,Not yet,Not yet,Not yet,,,,Main Contractor
29,Arabtec Construction (legacy),Procurement / Projects Team,Switchboard – see website,via website form,Source: retyn.ai,Not yet,Not yet,Not yet,,,,Main Contractor
30,Target Engineering,Procurement / Projects Team,Switchboard – see website,via website form,Source: blackridgeresearch.com,Not yet,Not yet,Not yet,,,,Main Contractor
31,Al Futtaim Construction,Procurement / Projects Team,Switchboard – see website,via website form,Source: industry lists,Not yet,Not yet,Not yet,,,,Main Contractor
32,Habtoor Leighton Group / Al Habtoor,Procurement / Projects Team,Switchboard – see website,via website form,Source: retyn.ai,Not yet,Not yet,Not yet,,,,Main Contractor
33,Dutco Balfour Beatty (DBB),Procurement / Projects Team,Switchboard – see website,via website form,Source: rib-software.com,Not yet,Not yet,Not yet,,,,Main Contractor
34,EFS Facilities Services Group,Procurement / Projects Team,Switchboard – see website,via website form,Source: mordorintelligence.com,Not yet,Not yet,Not yet,,,,Facilities Management
35,Imdaad LLC,Procurement / Projects Team,Switchboard – see website,via website form,Source: mordorintelligence.com,Not yet,Not yet,Not yet,,,,Facilities Management
36,Emrill Services,Procurement / Projects Team,Switchboard – see website,via website form,Source: retyn.ai / mordorintelligence.com,Not yet,Not yet,Not yet,,,,Facilities Management
37,Farnek Services LLC,Procurement / Projects Team,Switchboard – see website,via website form,Source: mordorintelligence.com,Not yet,Not yet,Not yet,,,,Facilities Management
38,Enova Facilities Management,Procurement / Projects Team,Switchboard – see website,via website form,Source: mordorintelligence.com,Not yet,Not yet,Not yet,,,,Facilities Management
